ページタイトル,施設ジャンル,施設、場所、イベントの名称（読み）,郵便番号,住所,ビル名,フロア数,緯度,経度
新宿小学校,非常用井戸等,シンジュクショウガッコウ,,千葉県千葉市中央区新宿2－15－1,,,35.607909,140.114303
本町小学校,非常用井戸等,ホンチョウショウガッコウ,,千葉県千葉市中央区本町2－6－23,,,35.60932,140.128119
寒川小学校,非常用井戸等,サムガワショウガッコウ,,千葉県千葉市中央区寒川町1－205,,,35.597317,140.121804
院内小学校,非常用井戸等,インナイショウガッコウ,,千葉県千葉市中央区祐光1－25－3,,,35.615512,140.125796
蘇我小学校,非常用井戸等,ソガショウガッコウ,,千葉県千葉市中央区今井3－15－32,,,35.578211,140.131263
都小学校,非常用井戸等,ミヤコショウガッコウ,,千葉県千葉市中央区都町1129,,,35.612507,140.144835
松ヶ丘小学校,非常用井戸等,マツガオカショウガッコウ,,千葉県千葉市中央区松ヶ丘町580,,,35.586438,140.155405
川戸小学校,非常用井戸等,カワドショウガッコウ,,千葉県千葉市中央区川戸町450,,,35.584782,140.167967
星久喜小学校,非常用井戸等,ホシクキショウガッコウ,,千葉県千葉市中央区星久喜町1060,,,35.596806,140.146688
生浜西小学校,非常用井戸等,オイハマニシショウガッコウ,,千葉県千葉市中央区塩田町316－1,,,35.558963,140.131289
検見川小学校,非常用井戸等,ケミガワショウガッコウ,,千葉県千葉市花見川区検見川町3－322－23,,,35.648881,140.068613
幕張小学校,非常用井戸等,マクハリショウガッコウ,,千葉県千葉市花見川区幕張町4－781,,,35.661884,140.053739
犢橋小学校,非常用井戸等,コテハシショウガッコウ,,千葉県千葉市花見川区犢橋町774,,,35.67297,140.108168
横戸小学校,非常用井戸等,ヨコドショウガッコウ,,千葉県千葉市花見川区横戸町1005,,,35.696165,140.120359
長作小学校,非常用井戸等,ナガサクショウガッコウ,,千葉県千葉市花見川区長作町1273,,,35.684214,140.073743
花見川第二小学校,非常用井戸等,ハナミガワダイニショウガッコウ,,千葉県千葉市花見川区花見川6－1,,,35.688791,140.101329
花見川第三小学校,非常用井戸等,ハナミガワダイサンショウガッコウ,,千葉県千葉市花見川区花見川1－1,,,35.685277,140.088844
さつきが丘東小学校,非常用井戸等,サツキガオカヒガシショウガッコウ,,千葉県千葉市花見川区さつきが丘1－7,,,35.663923,140.099185
上の台小学校,非常用井戸等,ウエノダイショウガッコウ,,千葉県千葉市花見川区幕張本郷4－8－1,,,35.668121,140.050455
朝日ヶ丘小学校,非常用井戸等,アサヒガオカショウガッコウ,,千葉県千葉市花見川区朝日ヶ丘2－6－1,,,35.659229,140.085505
宇那谷第一緑地,非常用井戸等,ウナヤダイイチリョクチ,,千葉県千葉市花見川区み春野2－2107－4,,,35.692272,140.139945
都賀小学校,非常用井戸等,ツガショウガッコウ,,千葉県千葉市稲毛区作草部町938,,,35.629152,140.120068
園生小学校,非常用井戸等,ソンノウショウガッコウ,,千葉県千葉市稲毛区小仲台9－30－1,,,35.647279,140.097899
稲丘小学校,非常用井戸等,イナオカショウガッコウ,,千葉県千葉市稲毛区稲丘町19－30,,,35.632606,140.088013
弥生小学校,非常用井戸等,ヤヨイショウガッコウ,,千葉県千葉市稲毛区弥生町3－18,,,35.625803,140.101136
緑町小学校,非常用井戸等,ミドリマチショウガッコウ,,千葉県千葉市稲毛区緑町2－13－1,,,35.623442,140.097753
山王小学校,非常用井戸等,サンノウショウガッコウ,,千葉県千葉市稲毛区山王町121,,,35.665341,140.142685
千草台小学校,非常用井戸等,チグサダイショウガッコウ,,千葉県千葉市稲毛区天台5－11－1,,,35.638225,140.116007
宮野木小学校,非常用井戸等,ミヤノギショウガッコウ,,千葉県千葉市稲毛区宮野木町2100,,,35.658964,140.109734
草野小学校,非常用井戸等,クサノショウガッコウ,,千葉県千葉市稲毛区園生町1385,,,35.65317,140.125533
若松小学校,非常用井戸等,ワカマツショウガッコウ,,千葉県千葉市若葉区若松町360－1,,,35.640785,140.16792
白井小学校,非常用井戸等,シライショウガッコウ,,千葉県千葉市若葉区野呂町215,,,35.580907,140.230974
更科小学校,非常用井戸等,サラシナショウガッコウ,,千葉県千葉市若葉区更科町2073,,,35.619293,140.228021
大宮小学校,非常用井戸等,オオミヤショウガッコウ,,千葉県千葉市若葉区大宮台7－8－1,,,35.596181,140.182235
桜木小学校,非常用井戸等,サクラギショウガッコウ,,千葉県千葉市若葉区桜木3－26－1,,,35.621105,140.159517
千城台北小学校,非常用井戸等,チシロダイキタショウガッコウ,,千葉県千葉市若葉区千城台北1－4－1,,,35.628698,140.18372
千城台南小学校,非常用井戸等,チシロダイミナミショウガッコウ,,千葉県千葉市若葉区千城台南1－19－1,,,35.618273,140.189326
みつわ台南小学校,非常用井戸等,ミツワダイミナミショウガッコウ,,千葉県千葉市若葉区みつわ台1－17－1,,,35.634603,140.130816
誉田小学校,非常用井戸等,ホンダショウガッコウ,,千葉県千葉市緑区誉田町1－27,,,35.549554,140.204475
土気小学校,非常用井戸等,トケショウガッコウ,,千葉県千葉市緑区土気町1634－2,,,35.531626,140.273411
越智小学校,非常用井戸等,オチショウガッコウ,,千葉県千葉市緑区越智町705－359,,,35.532181,140.237031
泉谷小学校,非常用井戸等,イズミヤショウガッコウ,,千葉県千葉市緑区おゆみ野中央4－3,,,35.554272,140.17359
土気南小学校,非常用井戸等,トケミナミショウガッコウ,,千葉県千葉市緑区あすみが丘4－16,,,35.523073,140.265018
大椎小学校,非常用井戸等,オオジショウガッコウ,,千葉県千葉市緑区あすみが丘6－38,,,35.514374,140.26234
有吉小学校,非常用井戸等,アリヨシショウガッコウ,,千葉県千葉市緑区おゆみ野1－53,,,35.56129,140.166093
おゆみ野南小学校,非常用井戸等,オユミノミナミショウガッコウ,,千葉県千葉市緑区おゆみ野南4－26,,,35.5443978,140.168043
幕張西小学校,非常用井戸等,マクハリニシショウガッコウ,,千葉県千葉市美浜区幕張西2－8－1,,,35.664865,140.038036
幸町第三小学校,非常用井戸等,サイワイチョウダイサンショウガッコウ,,千葉県千葉市美浜区幸町1－10－1,,,35.61127,140.099009
旧幸町第四小学校（工事中）,非常用井戸等,キュウサイワイチョウダイヨンショウガッコウ,,千葉県千葉市美浜区幸町2－12－12,,,35.621654,140.090536
高洲第三小学校,非常用井戸等,タカスダイサンショウガッコウ,,千葉県千葉市美浜区高洲3－3－11,,,35.626726,140.074168
真砂第五小学校,非常用井戸等,マサゴダイゴショウガッコウ,,千葉県千葉市美浜区真砂1－12－15,,,35.632619,140.069148
高浜第一小学校,非常用井戸等,タカハマダイイチショウガッコウ,,千葉県千葉市美浜区高浜1－4－1,,,35.61987,140.075894
旧高浜第二小学校（跡施設）,非常用井戸等,キュウタカハマダイニショウガッコウ,,千葉県千葉市美浜区高浜3－3－1,,,35.620969,140.066996
稲浜小学校,非常用井戸等,イナハマショウガッコウ,,千葉県千葉市美浜区稲毛海岸2－3－2,,,35.629948,140.084343
打瀬小学校,非常用井戸等,ウタセショウガッコウ,,千葉県千葉市美浜区打瀬1－3－1,,,35.642022,140.047293
磯辺小学校,非常用井戸等,イソベショウガッコウ,,千葉県千葉市美浜区磯辺4－16－1,,,35.631764,140.058101
高等特別支援学校,非常用井戸等,コウトウトクベツシエンガッコウ,,千葉県千葉市美浜区真砂5－18－1,,,35.644017,140.061599
千葉市役所,非常用井戸等,チバシヤクショ,,千葉県千葉市中央区千葉港1－1,,,35.607293,140.106375
消防合同庁舎,非常用井戸等,ショウボウゴウドウチョウシャ,,千葉県千葉市中央区長洲1－2－1,,,35.603716,140.120747
青葉の森公園,非常用井戸等,アオバノモリコウエン,,千葉県千葉市中央区青葉町654,,,35.595366,140.144497
千葉公園,非常用井戸等,チバコウエン,,千葉県千葉市中央区弁天3－1,,,35.621095,140.113877
千葉公園,非常用井戸等,チバコウエン,,千葉県千葉市中央区弁天4－1,,,35.620007,140.116985
県立千葉工業高等学校,非常用井戸等,ケンリツチバコウギョウコウトウガッコウ,,千葉県千葉市中央区今井町1478,,,35.570385,140.142867
花見川区役所,非常用井戸等,ハナミガワクヤクショ,,千葉県千葉市花見川区瑞穂1－1,,,35.662831,140.068863
一本松公園,非常用井戸等,イッポンマツコウエン,,千葉県千葉市花見川区幕張本郷2－33,,,35.668831,140.042077
稲毛消防署,非常用井戸等,イナゲショウボウショ,,千葉県千葉市稲毛区穴川4－12－2,,,35.635962,140.106574
長沼町公園,非常用井戸等,ナガヌマチョウコウエン,,千葉県千葉市稲毛区長沼町255－1,,,35.656597,140.113163
若葉区役所,非常用井戸等,ワカバクヤクショ,,千葉県千葉市若葉区桜木北2－1－1,,,35.63394,140.155623
小倉台公園,非常用井戸等,オグラダイコウエン,,千葉県千葉市若葉区小倉台4－7,,,35.629289,140.170582
緑消防署,非常用井戸等,ミドリショウボウショ,,千葉県千葉市緑区おゆみ野3－15－1,,,35.559974,140.175015
美浜消防署,非常用井戸等,ミハマショウボウショ,,千葉県千葉市美浜区真砂5－15－6,,,35.640607,140.063637
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区都町4－1,,,35.608855,140.14786
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区都町2－23－6,,,35.611067,140.14222
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区星久喜町759－9,,,35.596615,140.150712
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区弁天3－5－4,,,35.617946,140.115384
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区白旗1－7－14,,,35.575758,140.138398
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区今井2－18－7,,,35.580037,140.127406
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区川戸町346－74,,,35.582082,140.167855
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区院内2－14－6,,,35.612,140.124979
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区大森町282－154,,,35.581032,140.147946
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区川戸町422－1,,,35.582334,140.16353
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区浜野町1104,,,35.556384,140.129763
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区長洲2－28－16,,,35.599641,140.125308
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区南生実町8,,,35.557364,140.13496
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区星久喜町1158－5,,,35.594248,140.148287
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区都町3－12－2,,,35.607833,140.138513
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区鶴沢町21－1,,,35.610168,140.133099
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区祐光4－16－2,,,35.618505,140.130374
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区稲荷町1－15－4,,,35.589587,140.12661
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区赤井町739－127,,,35.573972,140.166455
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区蘇我2－7－11,,,35.572944,140.133786
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区松波4－15－19,,,35.622141,140.110272
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区椿森6－9－5,,,35.6241982,140.123732
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区登戸5－13－5,,,35.6202381,140.098424
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市中央区仁戸名町480－30,,,35.5858519,140.161804
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区幕張町1－7805－5,,,35.663989,140.044414
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区宮野木台4－17－15,,,35.659168,140.097219
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区天戸町1329－9,,,35.680629,140.096202
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区幕張本郷7－34－4,,,35.673023,140.050434
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区千種町237－16,,,35.677961,140.113663
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区長作町2351,,,35.674845,140.079444
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区犢橋町1623－9,,,35.678676,140.101413
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区千種町355－39,,,35.681561,140.120817
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区畑町1666,,,35.667371,140.075574
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区千種町352－53,,,35.681741,140.12271
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区千種町230－10,,,35.676714,140.115547
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区柏井4－45－5,,,35.707796,140.106199
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区柏井4－38－7,,,35.70693,140.106222
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区柏井4－42－26,,,35.707841,140.105796
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区検見川町1－716－1,,,35.654398,140.064452
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区浪花町907－37,,,35.6593,140.066655
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区横戸町1569－46,,,35.711167,140.114664
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区花島町146,,,35.680506,140.097846
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区武石町2－944－47,,,35.659938,140.064239
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区こてはし台1－22－17,,,35.684586,140.123339
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区幕張町6－274－1,,,35.657038,140.062164
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区花園町1574－5,,,35.652212,140.078977
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョウノイエ,,千葉県千葉市花見川区幕張本郷1－18－17,,,35.672475,140.038361
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区畑町1290,,,35.6674893,140.083375
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市花見川区武石町2－874,,,35.6620426,140.063771
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区緑町1－6－15,,,35.624706,140.098408
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区稲毛3－10－4,,,35.638415,140.084901
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区園生町1306－14,,,35.65503,140.124572
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区園生町131－4,,,35.649596,140.100759
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区長沼町173－65,,,35.659065,140.112253
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区宮野木町1158－4,,,35.65446,140.101355
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区天台5－12－25,,,35.638792,140.11576
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区天台5－13－52,,,35.638303,140.115024
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区穴川町383－3,,,35.638278,140.108338
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区天台5－24－8,,,35.63993,140.112661
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区稲毛台町21－13,,,35.634545,140.093751
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区長沼原町317－1,,,35.655502,140.126542
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区長沼町259－61,,,35.654559,140.110837
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区稲毛2－5－9,,,35.637354,140.079944
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区六方町24－2,,,35.65733,140.146766
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区穴川2－8－15,,,35.632909,140.110299
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区園生町390－39,,,35.655135,140.120986
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区稲毛町5－419－2,,,35.646871,140.082877
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区宮野木町1649－9,,,35.653082,140.105367
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市稲毛区小仲台8－15－1,,,35.6474562,140.08934
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区高根町671－1,,,35.596718,140.207798
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区千城台西1－20－11,,,35.623907,140.180105
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区若松台3－36－1,,,35.651019,140.178057
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区小倉町875－18,,,35.62525,140.176976
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区みつわ台1－12－8,,,35.632556,140.129645
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区千城台北3－20－4,,,35.623735,140.188877
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区大宮町2988－12,,,35.602512,140.172658
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区加曽利町1779－2,,,35.619253,140.167248
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区高根町854,,,35.602478,140.207877
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区千城台西1－12－7,,,35.624437,140.180204
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区みつわ台5－35－5,,,35.648135,140.138891
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区大宮町2129－10,,,35.58712,140.180862
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区若松町984－457,,,35.645457,140.167288
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区若松町425－34,,,35.640415,140.15866
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区北大宮台46－12,,,35.598506,140.175853
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区千城台東2－18－6,,,35.620082,140.193778
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区下田町1134－2,,,35.632117,140.200852
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区小倉台3－34－18,,,35.626088,140.17676
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区大草町441－49,,,35.608797,140.191825
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区金親町206－1,,,35.61343,140.199242
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区みつわ台2－11－22,,,35.640721,140.131365
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区みつわ台5－41－10,,,35.645032,140.139625
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区中野町1007－15,,,35.574118,140.275477
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区桜木1－29－5,,,35.618569,140.15453
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区桜木北3－12－56,,,35.636396,140.161316
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区桜木8－24－10,,,35.625111,140.163176
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区桜木北2－15－9,,,35.633682,140.158164
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区千城台東3－7－9,,,35.616109,140.194311
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区小倉台5－16－7,,,35.629646,140.17451
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区小倉町1754－9,,,35.630721,140.168503
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区桜木3－8－15,,,35.624535,140.160465
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区千城台北3－20－3,,,35.623822,140.188734
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区小倉台7－29－8,,,35.626361,140.180277
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区小倉台5－21－9,,,35.628719,140.174246
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区西都賀5－2－16－1,,,35.6402766,140.148972
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区貝塚町1108－15,,,35.629697,140.148138
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区若松台3－34－14,,,35.651379,140.177461
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区小倉台2－2－7,,,35.6267996,140.171587
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区千城台西3－2－5,,,35.6230412,140.179041
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市若葉区若松台2－25－1,,,35.650837,140.171983
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区おゆみ野中央3－16－11,,,35.554341,140.169698
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区おゆみ野南5－10－16,,,35.548839,140.173597
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区高田町182－2,,,35.565391,140.209117
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区鎌取町98－6,,,35.5666196,140.176804
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区おゆみ野中央3－9－16,,,35.553922,140.168303
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区あすみが丘3－51－14,,,35.530182,140.264705
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区土気町1519,,,35.53758,140.272916
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区誉田町1－137－17,,,35.552931,140.203475
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区土気町1692－43,,,35.527958,140.275899
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区小山町173,,,35.50836,140.264843
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区小山町148,,,35.508677,140.266415
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区大高町33－67,,,35.540844,140.248987
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区土気町1296－5,,,35.542634,140.273653
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区小山町147,,,35.508841,140.266567
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区小山町179,,,35.508419,140.264098
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区下大和田町66,,,35.553786,140.274013
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区誉田町1－136－76,,,35.553945,140.202813
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区誉田町2－2－320,,,35.545616,140.200472
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区おゆみ野6－9－3,,,35.551598,140.194169
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区平山町469－111,,,35.584716,140.185613
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区おゆみ野中央3－20－10,,,35.5529599,140.170121
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市緑区平山町1922－33,,,35.576486,140.169046
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市美浜区真砂1－3－13,,,35.634132,140.071826
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市美浜区若葉1－4－1,,,35.657217,140.044135
防災井戸協力の家,非常用井戸等,ボウサイイドキョウリョクノイエ,,千葉県千葉市美浜区真砂1－9－13,,,35.6349771,140.069935
新宿小学校,備蓄倉庫,シンジュクショウガッコウ,,千葉県千葉市中央区新宿2－15－1,,,35.607909,140.114303
本町小学校,備蓄倉庫,ホンチョウショウガッコウ,,千葉県千葉市中央区本町2－6－23,,,35.60932,140.128119
