ページタイトル,施設ジャンル,施設、場所、イベントの名称（読み）,郵便番号,住所,ビル名,フロア数,緯度,経度
若葉図書館,赤ちゃんの駅,ワカバトショカン,264-0004,千城台西2-1-1,,,35.62215,140.186962
おやこカフェ幕張,赤ちゃんの駅,オヤコカフェマクハリ,262-0031,武石町1-560,,,35.665136,140.061303
花見川ひかり整形外科,赤ちゃんの駅,ハナミガワヒカリセイケイゲカ,262-0043,天戸町1334-4,,,35.681228,140.094769
イオンマリンピア店,赤ちゃんの駅,イオンマリンピアテン,261-8513,高洲3-13-1,,,35.62838,140.073125
幕張本郷・子育てリラックス館,赤ちゃんの駅,マクハリホンゴウ・コソダテリラックスカン,262-0033,花見川区幕張本郷2-8-23,アミティ望月101号室,,35.67049,140.041598
ちばぎんざ図書館,赤ちゃんの駅,チバギンザトショカン,260-0013,中央3-3-9,MF9ビル2階,,35.608518,140.121242
イオン稲毛店,赤ちゃんの駅,イオンイナゲテン,263-0043,小仲台1-4-20,,,35.636697,140.095026
イオン幕張店,赤ちゃんの駅,イオンマクハリテン,261-0021,ひび野1-3,,,35.651777,140.045377
フレスポ稲毛,赤ちゃんの駅,フレスポイナゲ,263-0001,長沼原町731-17,,,35.657164,140.12849
イオン鎌取店,赤ちゃんの駅,イオンカマトリテン,266-0031,おゆみ野3-16-1,,,35.561498,140.177597
青葉の森公園つくしんぼの家,赤ちゃんの駅,アオバノモリコウエンツクシンボノイエ,260-0852,中央区青葉町977-1,,,35.59791,140.13878
三陽メディアフラワーミュージアム,赤ちゃんの駅,サンヨウメディアフラワーミュージアム,261-0003,美浜区高浜7-2-4,,,35.61797,140.065
SMBCコンシューマーファイナンス株式会社千葉お客様サービスプラザ,赤ちゃんの駅,エスエムビーシーコンシューマーファイナンスカブシキガイシャチバオキャクサマサービスプラザ,260-0015,中央区富士見2-8-14,エキニア千葉2階,,35.61007,140.1182
NHK千葉放送局　ハートプラザ,赤ちゃんの駅,エヌエイチケイチバホウソウキョク　ハートプラザ,260-8610,中央区千葉港5-1,NHK千葉放送局,,35.60566836,140.1064163
たかし保育園稲毛海岸,赤ちゃんの駅,タカシホイクエンイナゲカイガン,261-0005,美浜区稲毛海岸3-1-30,フラワーヒル2階,,35.6353516,140.0803024
ローゼンそが保育園,赤ちゃんの駅,ローゼンソガホイクエン,260-0822,中央区蘇我5-44-2,,,35.56910188,140.1393431
ネッツトヨタ千葉（株）　ネッツタウン新港,赤ちゃんの駅,ネッツトヨタチバカブシキガイシャ　ネッツタウンシンミナト,261-0002,美浜区新港70-1,,,35.61493601,140.0878179
ネッツトヨタ千葉（株）　登戸店,赤ちゃんの駅,ネッツトヨタチバカブシキガイシャ　ノブトテン,260-0032,中央区登戸2-2-7,,,35.61098485,140.1106596
ネッツトヨタ千葉（株）　小仲台店,赤ちゃんの駅,ネッツトヨタチバカブシキガイシャ　コナカダイテン,263-0043,稲毛区小仲台8-17-10,,,35.64669522,140.0875819
ネッツトヨタ千葉（株）　畑町店,赤ちゃんの駅,ネッツトヨタチバカブシキガイシャ　ハタマチテン,262-0019,花見川区朝日ヶ丘1-35-7,,,35.65967606,140.0881398
